job_id,host_oar,cigri_oar,submission_time_oar,start_time_oar,stop_time_oar,processor,job_type_oar,job_user_oar,resource_ids_oar,nb_resources,psetmin,psetmax,runtime_oar,number_of_RAPL_observation,max_amp_spec,dom_perdiod,dom_freq,energy_mean,energy_var,energy_coef_var,auto_correlation,significance_level,total_energy_consumption
3858710,38,0,1561436840,1561436841,1561523248,1,PASSIVE,irnakat,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,86407,849,20.367382980965026,36,-1,5.372341552742602,0.39771590684812236,0.07403027207849187,0.5123207284012244,0.06726578981196338,456111797827.847
3858710,38,0,1561436840,1561436841,1561523248,2,PASSIVE,irnakat,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,86407,849,6.942141571189558,36,-1,5.941807415943873,0.3173320665852574,0.05340665632038973,0.33624687528521285,0.06726578981196338,504459449613.6348
3858710,44,0,1561436840,1561436841,1561523248,1,PASSIVE,irnakat,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,86407,849,2.1326270510651235,36,-1,5.66092246652527,0.25270143437192183,0.04463962116885032,0.09226060020638872,0.06726578981196338,480612317407.9955
3858710,44,0,1561436840,1561436841,1561523248,2,PASSIVE,irnakat,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,86407,849,2.05455477070622,36,-1,5.886325490140473,0.27191693341636874,0.046194681872727975,0.15225553474281556,0.06726578981196338,499749034112.9262
3858710,46,0,1561436840,1561436841,1561523248,1,PASSIVE,irnakat,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,86407,849,2.5704861711424756,36,-1,5.9176987325643005,0.25782851500344495,0.04356905051361423,0.09837831649575196,0.06726578981196338,502412622394.7091
3858710,46,0,1561436840,1561436841,1561523248,2,PASSIVE,irnakat,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,86407,849,1.3464039486213515,36,-1,6.136079279325106,0.24851568019385797,0.04050072837735429,0.05490772911397946,0.06726578981196338,520953130814.70154
3858726,40,0,1561446833,1561446835,1561490046,1,PASSIVE,irnakat,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,43211,295,4.52529372182068,33.33333333333333,-1,5.568727558321264,0.47326258039650426,0.08498576657594162,0.21745915156018483,0.11411351500781014,164277462970.47726
3858726,40,0,1561446833,1561446835,1561490046,2,PASSIVE,irnakat,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,43211,295,4.2885415384326375,33.33333333333333,-1,5.664872918206317,0.4733819728694412,0.0835644470236994,0.18076869110682992,0.11411351500781014,167113751087.08636
3858726,42,0,1561446833,1561446835,1561490046,1,PASSIVE,irnakat,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,43211,295,4.5994895342739985,33.33333333333333,-1,5.538540693928388,0.47781577592479757,0.08627105989283458,0.21809744557197294,0.11411351500781014,163386950470.88745
3858726,42,0,1561446833,1561446835,1561490046,2,PASSIVE,irnakat,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,43211,295,3.653322850205108,33.33333333333333,-1,5.675955607647692,0.46462432289137845,0.081858343336116135,0.1632025013622093,0.11411351500781014,167440690425.60693
